plate_size,time
8,0.005093340768798953
16,0.005047225490899291
24,0.005022023136902135
32,0.0048849578498979095
40,0.004907340258703334
48,0.004925322001002496
56,0.0050020261740020945
64,0.004907240851997631
72,0.0049348799266037534
80,0.005027422950603068
88,0.004982980718900217
96,0.005044908343302086
104,0.005102398861397524
112,0.005457407607900677
120,0.0061575306251994335
128,0.0069152016772015485
136,0.007754640172596555
144,0.008627068552200216
152,0.009558125754602952
160,0.010523847113997908
168,0.01159016301779775
176,0.01261714063140098
184,0.013832245927100303
192,0.015047915579099208
200,0.01626840770029812
208,0.017577533279394264
216,0.01898836582880467
224,0.02046231998630101
232,0.02193461072680075
240,0.02347025491630193
248,0.024999484551901697
256,0.026728010382701176
264,0.028618289628002093
272,0.03040889794009854
280,0.03214625478929956
288,0.03395527189949644
296,0.03613869889809866
304,0.038030810409301195
