plate_size,time
8,-0.0034763969597406685
16,-0.003520280006341636
24,-0.0034449330414645374
32,-0.004454578971490264
40,-0.0035457730409689248
48,-0.004612129007000476
56,-0.0043350959895178676
64,-0.0033969340147450566
72,-0.003426067007239908
80,-0.004379954014439136
88,-0.0034296310041099787
96,-0.003629660001024604
104,-0.004370976996142417
112,-0.004970730049535632
120,-0.0042233720305375755
128,-0.004659007012378424
136,-0.005198188999202102
144,-0.005944072967395186
152,-0.006502397998701781
160,-0.007169285032432526
168,-0.008060524007305503
176,-0.008699378988239914
184,-0.00968170800479129
192,-0.010497632960323244
200,-0.01111740298802033
208,-0.01238092000130564
216,-0.013398155977483839
224,-0.014260164985898882
232,-0.015433156047947705
240,-0.016652135003823787
248,-0.01785315602319315
256,-0.01921013300307095
264,-0.020522939041256905
272,-0.021815732994582504
280,-0.022826529981102794
288,-0.024625329999253154
296,-0.026024157006759197
304,-0.027857247041538358
