plate_size,time
496,0.041564917720388624
488,0.040051960170385426
480,0.038650779929594134
472,0.03745799080992583
464,0.036026850860216654
456,0.03473939273972064
448,0.03352690875995904
440,0.03216461653006263
432,0.03098663302953355
424,0.029835257960367016
416,0.028501445209840312
408,0.02750220161979087
400,0.026374800850171597
392,0.02529914088023361
384,0.025549987599952147
376,0.023182922110427173
368,0.02211390038020909
360,0.021162977979984135
352,0.02009316581010353
344,0.019247339669964277
336,0.018288501569768415
328,0.017423509290092624
320,0.016496146009885707
312,0.015709773270064033
304,0.014856801250134595
296,0.014077670390252024
288,0.013285071679856628
280,0.012589752250351012
272,0.011880410030134953
264,0.011177505429950543
256,0.010468800329836086
248,0.009824852850288153
240,0.009182089560199528
232,0.008618597850436345
224,0.00802256638999097
216,0.007474887309945189
208,0.006991268510464579
200,0.006422369829961099
192,0.005981713429791853
184,0.005465824879938737
176,0.005005885070422664
168,0.004611617029877379
160,0.004201195039786399
152,0.0038216807902790606
144,0.003456210430013016
136,0.0031091953098075463
128,0.0028455226903315632
120,0.0027839718898758294
112,0.0027483168302569537
104,0.0027244255400728436
96,0.0027898353798082097
88,0.002736341239651665
80,0.0028121826599817722
72,0.0028214026900241153
64,0.0034091600799001755
56,0.0035013533401070164
48,0.003389157780329697
40,0.003347688520443626
32,0.0033568349399138242
24,0.0034915065101813526
16,0.003513039059471339
8,0.002651712219812907
