plate_size,time
8,0.002790639379597269
16,0.0029911606041016056
24,0.00286130784979905
32,0.0029187141811999025
40,0.0028671740585006775
48,0.0030438959043996875
56,0.0028956965902005322
64,0.0034042656145989894
72,0.0029242952245986087
80,0.002938774417899549
88,0.0028925134102988524
96,0.003090567251300672
104,0.0032779237431997898
112,0.003019158665201394
120,0.0031608834089012815
128,0.003134451625798829
136,0.003354902454302646
144,0.0037352281286963263
152,0.004109324628702598
160,0.004516565011796775
168,0.004958018955198349
176,0.00537974225890357
184,0.005881015510199358
192,0.00641604837779887
200,0.006901855790300761
208,0.007440487858199049
216,0.008029972624900983
224,0.008631098404095974
232,0.009269181032100459
240,0.009848414641100681
248,0.01053181776360143
256,0.011230778687499696
264,0.011995360057504149
272,0.012758027935796418
280,0.013487289559398779
288,0.01428512300850125
296,0.015095328659797087
304,0.015951914589601802
